x	y	classify	taxa	attr1	attr2
127.1965409	6.867510291	2	A722	127.1965409	6.867510291
82.0276651	110.3260867	3	A723	82.0276651	110.3260867
73.4788645	226.516704	3	A724	73.4788645	226.516704
93.75516094	-154.5985783	4	A725	93.75516094	-154.5985783
40.95527829	100.983868	3	A726	40.95527829	100.983868
12.0060367	151.6814144	3	A727	12.0060367	151.6814144
45.50249335	174.167154	3	A728	45.50249335	174.167154
-39.24486565	-33.07707324	3	A729	-39.24486565	-33.07707324
32.85146789	-209.6671673	4	A730	32.85146789	-209.6671673
157.8983274	-164.9874568	4	A731	157.8983274	-164.9874568
-105.7188589	127.7730155	1	A732	-105.7188589	127.7730155
195.8394844	-47.77335875	5	A733	195.8394844	-47.77335875
39.41619262	-223.4829766	4	A734	39.41619262	-223.4829766
117.5137073	136.9599118	3	A735	117.5137073	136.9599118
85.10866716	147.1472196	3	A736	85.10866716	147.1472196
129.5836978	-132.2175239	4	A737	129.5836978	-132.2175239
26.54294447	72.72426451	3	A738	26.54294447	72.72426451
113.0778481	-36.5864217	2	A739	113.0778481	-36.5864217
122.2492008	153.6090651	3	A740	122.2492008	153.6090651
-68.64844309	16.96893151	3	A741	-68.64844309	16.96893151
-132.2967313	-46.7411005	1	A742	-132.2967313	-46.7411005
-42.49792441	-45.55641872	3	A743	-42.49792441	-45.55641872
-185.1918448	40.85735563	1	A744	-185.1918448	40.85735563
8.939162624	144.3819114	3	A745	8.939162624	144.3819114
263.7680336	20.59918257	5	A746	263.7680336	20.59918257
-17.31008817	51.19840265	3	A747	-17.31008817	51.19840265
-63.50915567	119.2052217	3	A748	-63.50915567	119.2052217
69.91194064	-142.0579074	4	A749	69.91194064	-142.0579074
-126.3941217	110.0021273	2	A750	-126.3941217	110.0021273
16.14316602	195.1875656	3	A751	16.14316602	195.1875656
-72.67570796	193.9010758	3	A752	-72.67570796	193.9010758
-193.1223944	-0.763467375	1	A753	-193.1223944	-0.763467375
-89.91834245	79.16526843	3	A754	-89.91834245	79.16526843
-161.8664476	36.51392346	1	A755	-161.8664476	36.51392346
158.4465909	-68.2921286	5	A756	158.4465909	-68.2921286
-138.5366543	-84.40202104	3	A757	-138.5366543	-84.40202104
-42.13716182	-28.49408386	3	A758	-42.13716182	-28.49408386
-36.77233504	24.95965859	3	A759	-36.77233504	24.95965859
-5.451912975	-119.4367484	2	A760	-5.451912975	-119.4367484
-86.10891983	218.1099323	3	A761	-86.10891983	218.1099323
137.5474824	77.43754883	2	A762	137.5474824	77.43754883
-50.94284118	-74.44930616	3	A763	-50.94284118	-74.44930616
-49.64993383	-120.3753926	2	A764	-49.64993383	-120.3753926
-10.21419067	-234.2822827	4	A765	-10.21419067	-234.2822827
